,Text
4609,yani telefon alin diyosunuz birde her yoruma iletisim bilgilerinizi gonderin inceleyelik demeyin kopyala yapistir biraz saygi musteriye valla kimse memnun degil sizden
4610,naptiniz hepten bozdunuz tlfnum hic cekmiyo sinirden catliycam senelerdir kullandigim hat simdi hic cekmiyo duzeltin sunu
4611,saka gibi rezilliklerine yenisini ekliyorlar fibere gectik diye milleti zarflayin bakalim haftadir istanbul gop gibi yerde ariza sonuclanmasi bekliyoruz yaziklar olsun
4612,ayrica eski cevirmeli baglanti kadar yavas internet fiber bize ugramiyor herhalde tamami hadise sneijdere gitti galiba
4613,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
4614,that gayyyy
4615,helal selocan bulmusun abiyi hemen teşekkür ederim.
4616,super birsey
4617,cankiri olmayan teknosa cankiriyi olarak gormuyorlar
4618,yakina ekle karsikli duvar fullemesi yapalim
4619,corumdan selamlar
4620,woops sms tarifesine gecmek istiyorum ama dediginiz tarife gozukuyor nasil is
4621,3g problemleri icin nereye basvurabiliriz? kayseri/talas erciyes unv. civarı 5 gündür edge. turkcell bile çekiyor yahu :) help..
4622,"#blackberry kaynaklı 3g sorunu çözülmek bilmiyor.  de halledemedi, arkadaşlar çözmeye çalışıyor dedi.  nedir sorun?"
4623,ilkinde oldu
4624,narkozun etkisiyle can acisiyla ilk kucagimda istememistim hatta hafta ablam ikimizede bakmisti ben cesaret edemiyordum altini bile bezlemeye ama hafta boyunca gak dese hastaneye guk dese hastaneye gittik doktor beni gorunce guluyordu artik suan aksam olsun paydos edeyim biran once kizima kavusayim diye icim gidiyor
4625,lg telefon nekadar
4626,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
4627,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
4628,oha oha bi' arkadaşım gnctrkcll şifren var mı diye sordu yuh amk küçükken vardı o mc donalds'tan 1+1 ucuz menü yiyoduk
4629,"bu turkcell benden habersiz sms paketimi yeniliyor ya... nasıl gıcık oluyorum, belli değil."
4630,merhaba size nasil yardimci olabiliriz
4631,kameram bozuldu hafiza yerle bir oldu resim cekip gonderemiyorum lutfen bana bir cihaz hediye edin magduriyetimi arz ediyorum :)
4632,merhaba size hangi konuda yardimci olabiliriz
4633,turk telekom geldi geleli telefonlarimiz cekmiyo evden yenikette oturuyoruz ankarada
4634,yav arkadas sim kartinizada hatrinizada musteri hizmet lerined gunde internet paketi nasil bitiyor anlamadim ukala musteri memnuniyetini temsilcisi
4635,nasil soylesem sana hani okul bitti ben tesekkur aldim hatirlarmisin soz vermistin sene basinda matematik fizik kimya hepsini basar odul kapinda soyluyorum artik yeter noooolur gidelim teknosa
4636,siz once insanlara vadettiginiz hizlarda internet saglayin kullanicilar vadettigi parayi pasa pasa oduyorsa sizde karsiligini verin
4637,lan gostermedin
4638,bilirim ama türk'üz turkcell lıyız kanka;)
4639,abi sadece shirt olmasin
4640,ya carsida cekiyor evde cekmiyor kapsamasi kotu afyonda sadece carsida lte yaziyor telefonda sikinti yok hatt sikintili
4641,lg varmi
4642,""" konseri,bugünsaat15:00'tecanlı yayınla hayat müziği paylaşınca güzel :)"
4643,turkcell de senden memnun mus bugun konustular bil yani!
4644,bu turkcell çok piç öyle böyle değil
4645,ramazan ozer bizi cagiriler bunlar hala roma
4646,kurumsalsaniz   almak bu kadar zor mu?! her seferinde sabrimizi zorlamasaniz... :(((
4647,simar iskender haykiriyom qwe wqe wqe
4648,ben memnunum turksrlin gotu kalkmisti indiren turk telekoma tsk ederim asil bitirelecek biri vrsa yahudi lobisi bilmem anlata bildimmi
4649,gencler ve kendini genc hisseden herkes gnctrkcll li degil mi;))
4650,ben esim kullaniyoruz memnunuz
4651,mutlu yillar
4652,yaptim
4653,arkasi guzel olmamis
4654,pratik guzel
4655,bir türkcell'i olarak aveanın yeni reklamına bayıldım. i̇yi g.t etmiş şerefsizler. :d
4656,hayirlisi olsun
4657,allah cezanizi versin istanbul ortasinda daha normal hatti kullanamiyoruz kaldi kullanicaz aldiginiz para zehir zikkim olsun cekmiyor telefon
4658,butun kufurler turkcell'e of
4659,mrhb oldu ronaldoya tekirdag kapakli ilcesinden yaziyorum cerkezkoy ilcesinde var kapakli yok arkadaki mesafe sizin ronaldo yaslanmis zaten bolgede sikinti var halen devam diyor koskoca kapakli ilcesi cerkezkoy bile daha buyuk nufus olarak turkiye goc alan ilcesi vodafone turkcell full sizde tik yok ronaldo yaslanmis kapakli ilcesinde cerkezkoy kapakli arasinda kapakli girisinde olan vahit ince ust gecide kadar var carsida hic mahallede yok yurube turk telekom bismillah yillardir zaten sikayet ediyorum sorun var diye emindim olacakti oldu turkcell vodafone kadar olamadiniz ama artik yeter sabrin yeri var yazdigimi artik tum sosyal medya hesaplarinda yorum yapip paylasacagim yoksa sizlerin birsey yapmaya niyeti yok kapakli ilcesinde koskoca ilcede bin nufuslu ilce yok
4660,dusuktu hep notlarim babam derdi calis bana calistim basardim hakettim playstation
4661,#turkcell kampanyaları içerisndeki süpriz fatura #hayattansogutanseyler den biri olarak değerlendiriyorum konudan müzdarip varmı?
4662,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
4663,inceleme yapamadinizmi yoksa para iadesi zorunuza gidiyo
4664,sonynin ovupde sattigi konsol last standart versiyonundan daha verimsiz calistiriyor bence tek iyi yani eklenen yeni gblik ram olmus ayrica ddr bellek eklenmesi fps degerlerinin sabit yukselmeside hos olmus
4665,size numarami versem konussak siz tamam deseniz biz oraya baz istasyonu koyacaz deseniz yil zaman alir gerek yok ancak reklamdaki sabirla dinleyip diyen oyuncunun ismini ogrenebilir miyim
4666,arayin soyliycem ben size nasil yardimci olcaginizi itina guzelce anlaticam bay arasin ozellikle yaziyorum numarani ozelinize
4667,sizi destekliyoruz turk turk telekom
4668,ha simdi bide gec yapmis diye elestirin dogru keske hic yapmasaymis
4669,"turkcell içi var, normalde bi kaç tl'm var. sen mesaj at, konuşuruz. olmadı ararım canım zor değil hanii :d"
4670,bide sinirsiz internet lira fatura geliyo
4671,turkcell i̇k tek tıkla turkcelli cv www.turkcellisimolurmusun.blogspot.com
4672,sen yine turkcell e mi döndün kanki ?
4673,sozluk oglum icin tablet almayi istiyorum
4674,tabi hakan sukur
4675,hizli sarj var
4676,tum turk qardaslarima azerbaycandan slamlar allah sizleri korusun
4677,hepsinide seviyorum
4678,fiyat almis basini gidiyor satmasa daha iyi olur
4679,nimli gozukcez sizde birde hic hizmet vermiceksiniz turk telekom kendi bunyende acsan neyse ama avea yaya guvenme bizler cikariz yuzden avea oldugu surece gecmem
4680,fiber benim cekmiyor sehir merkezinde nedir fatura ode internete gireme mis
4681,
4682,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
4683,yardim edelim diyorlar ama hic care olmuyorlar tabletin ekranini tamir edemiyen teknosa daha reklam yapiyorsunuz once satdiginiz malzemenin tamirini yapamiyorsunuzmilletibirdekasko yapalim her sorun cozulur dersiniz satarken ama care yok yok teknosanin genelmuduru ariyan bayan benimsoruma cevap veremiyor cevap bekliyorum
4684,kim
4685,“   müşterilerinizi cekim gücünüz gibi kaybedeceksiniz... #turkcellcekimgucu” #ff
4686,sj her modele uygunsa alinir kacmaz
4687,"millet ""muzik"" yazıp 1040'a gönderin 20/50 dk ßedavaa geliyor yeminlee yapın turkcel sadece .!"
4688,merhaba konuyla ilgili inceleme yapabilmemiz icin numaranizi mesaj yoluyla iletebilir misiniz tesekkurler
4689,"bu akşam turkcell belejj film gecesi,yani gnç turkcell şifresi paylaşım gecesi, katkılarınızı bekliorum, sanata ve sinemaya katkı babında :)"
4690,"hemde çok severek. ağzından,burnundan tükürükler çıkan bir avukat ile birlikte. ee nede olsa hayat paylaşınca güzel !!"
4691,vestel orda
4692,#3kelimeyle2011 benim kelimelerim: nisantasinda turkcell cekmiyor!!!!
4693,benim favorim vestel
4694,"bizimki de can,kontür alamayan patlıcan gerisi zaten hep selocan boşver yavuz abi:p espri benim ha kapma:d"
4695,aynen giden geri gelmiyor
4696,talebiniz ilgili ekiplere iletilmistir kisa sure icerisinde sizinle irtibata gecilecektir
4697,site acilmiyor napicaz
4698,memnun olan biri yok kac yillik kullanicinizim ama hayrinizi gormedim her taahhut sac basa giriyoruz bumu fiberiniz musteri memnnuniyetiniz pis dolandiricilar
4699,bakalim abii
4700,hic yerde cekmiyor yaaa
4701,fiyat nedir acaba
4702,magazalarda urun cesitliligi diye sey yok her urun kaleminden cesit ise yaramiyor neyin cesitliligi anlamadim resimdeki hangi magaza acaba merak ediyorum
4703,1gb internet paketi aldım 1 ay olmadan bitti nasıl oluyor çok merak ediyorum ey turkcell cevap ver!??
4704,merhaba teknolojisi mobil internet hizinizi etkilemekte olup evde interneti etkilemeyecektir tesekkurler
4705,talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
4706,sahan in oynadığı son turkcell reklamına cok güldüm bsbdbdhdfnbzhgczzvzvzjddhdjdjzg
4707,ewet turk telekom cekmiyor internet yavas ama yinede turk telekomu sewiyomm
4708,ve  reklamlarla acayip ayar vermiş :d cevaplar nasıl olacak gerçekten çok merak ediyorum :)
4709,reklamlardaki renkler sirketleri ifade eder yakaladim avea reklamindaki oklar mavi turkcell kirmizi vodafone turuncuda avea dir
4710,internet hızım neden 8m degil ? su hızı arttırın yoksa superonline alıcam
4711,bu kadar reklam verdiniz ama hizmet kaliteniz dustu hizmet kalitenizin adi yalan gundur seyredemiyorum call cenmtreden kisa zamanda cozulecek diyor bende sordum kisa sureniz yildan cevap alamadim bilen varmi pazartesi tivibu sonra abonesi oldugum tum hizmetlerinizi iptal ettirecegim reklama verdiginiz onemin hizmete verseydiniz
4712,"sesim kısıldıı içn turkcell beni sesimden tanıyamadı waaow, demek ki gerçekten güwenli de ben işimi nası halletcem?"
4713,siz once ttnet internetini duzeltin sonra reklam yapin
4714,merhaba talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
4715,ronaldoya kiz lazim
4716,turk telekom telefonumla gorusme yapabileyim yeter
4717,bursa osmangazi demirtas sakarya mahallesi zafer sokaga alt yapi istiyoruz gerekli tum basvurulari yaptik sizin keyfinizi bekliyoruz
4718,yalan kulliyen yalan
4719,sayin telekom konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
4720,ahmet ozbal islemci macunu yenile
4721,kadikoy - karakoy vapurunda turkcell arilari cumhuriyet ve zaman gazetesi dagitiyor..
4722,ispanyada neyin kafasi ronaldoyu hizlandirmayi calisiyonuz
4723,ucakk ucakkk
4724,avea intouch marshmelow guncellemesi gelecekmi
4725,konya kadinhani sacikara koyu nde normal hat cekmiyor zor cekiyor direk kurun yararlanalm fiber
4726,bedava verseler almam
4727,"kullanmadığım bis'in parasını alan turkcell, senin taaaa mınakoyim"
4728,turk telekom kadar berbat servis gormedin haftadir evimde telefonum cekmiyor avea turktelekima gecmeden once iyiydi gecti iyice bosladi gectigi ilk haftada fatura ucreti aldilar soyguncu bunlar soyguncu
4729,merhaba iletisim bilgilerinizi sayfanin ust kisminda bulunan mesaj bolumunden iletmeniz durumunda konu hakkinda inceleme yaparak size geri donus yapmak isteriz tesekkurler
4730,dostum durduk yerde 20 mb internetimi yedi turkcell. yarın gidip söyliycem düzeltmezlere aveaya gecıyorum.
4731,playstation pro normal fiyati nedir
4732,yarin iphone 4s geliyor bence turkcell bayisinden gorcem artik 15 tatilde saturn magzasina gider kullanirim
4733,efsane pil omru olur bunun
4734,yardimci olabilmemiz icin detaylari paylasabilir misiniz
4735,kişisel bloglardan 2011 turkcell blog ödülleri'nde halk oylaması sonucu finale kalan ilk 10 blog: (cont)
4736,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
4737,kac kiloluk fiyati nekadar
4738,sizin kadar adi kurum kurulus daha yok haziranda yaptirdigim internet naklim olmasina ragmen hala aktif olmadi benden aylik fatura arti nakil ucreti alinmasina ragmen aydir internetim yok eve gelen telekom yetkilileri bizde anlamiyoruz diyip gidiyorlar siz kadar ucuz kurumsunuz aydir aktif olmayan internetin faturalarinida oderttirdiniz nakil ucretinide simdi tuketici haklarina basvuracagim
4739,bende once iptal ettim interneti bana fatura cikarmislar postayala gondermisler gidiyoruz odeyelim diye borcunuz yok diyorlar benden aldigi fazla para messiyi bile oynatirlar olacak
4740,"turkcell hayatı paylaşmaktan yorgun düşmüştür, siz başınızın çaresine bakın:)"
4741,vestel bizi the goal gotur d
4742,hizmet numarali musterinizim istanbuldan corluya tivi adsl nakil yaptirdim tarihinden beri corludaki evime nakil isleminin yapilmasini bekliyorum corluda merkezden yaptigim basvuru sagolsun oranin sorumlusu murat bey yakindan ilgilendi ama hala benim evime internet sinyali ulasmadi sizlere yazili sozlu kere ayaginiza kadar giderek isi uslubunca artik yapilmasi adina musteri olarak elimden geleni yaptim oglum derslerini yapamiyor bizde seyredemiyoruz eger firma olarak sizden imkansiz bisey istediysem soyleyin ben elektirikci veya baska gerekiyorsa yapmaya bunlarin maliyetlerine hazirim eve adsl sinyalinin getiremeyen firmanin reklamlari her kanalda fiber gucu diye donuyor valla olmuyorsa soyleyin baska sirketle isimizi halledelim alt yapisini sizin sagladiginiz turkcell gunde fiber hizinda adsl verecegini bildirdi bilginiz olsun aydir bana adsl hizmeti veremeyen tum turktelekom calisanlarina iyi calismalar kolay gelsin not arada yazili basvurumu yaptigimda gun icin nakil saglanacak dendi yaklasik kez aramam sonuclarinda hep bilgilerim alindi acil cozum saglanacagi bildirildi oldu bilgidir sallamayin zaten sallayan yok tarihinde evime sinyal gelmez ise tarihinde sizinle olan tum sozlesmelerimi tek tarafli fes edecem iade islemlerinde hicbir ucret odemeyecegim bilginize
4743,"ttneti bilmiyorum ama, superonline'nin servis hizmeti cok ama cok kotuuu"
4744,osman toprak bayraktutan mesajlardan bana cevap verebilirmisiniz
4745,teknosadan elektronik esya almak asla kimseye tavsiye etmiyorum attiginiz kazigi daha unutmadim
4746,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
4747,turk telekom diger adi avea kendini biraz daha gelistirmelidir bizce koy yerlerde hic sebeke yok buradan yetkililere sesleniyoruz
4748,abi preo goseteririmisn
4749,scarlet johnson ciktim juccy filmini defa izledim ama kadarda benzemiyoruz
4750,hic sey bilmeyen insanlari cagri merkezinize oturtup musterinizle muhattap etmeyin cozum uretmek yerine bekleyin diyen cagri merkezi istemiyoruz biz ayrica ozele mesaj yazin diyosunuz gunden belli cevap vermiyosunuz bumu hizmet turktelekom kendini batiriyosun artik farkina var
4751,üşeniyorum gidip turkcell bayisene gidip 4s bakmak için
4752,reklam yapmakla olmuyor internet video oynatmayi gec fotografi zor aciyor biraz yapin fiber mis yapamayacaginiz seyse umit verip lafini acmayin
4753,en yuksek ortalamali 3g hizi bile onlardayken turkcell cekmeyen yerde vodafone cekerken hala turkcell kullanmak hangi kafa anlamiyorum:)
4754,hala net gelmedi gundur tik yok
4755,ayrica turk telekom fox haber fatih portakala bildirdi mahalleye gelinler hepsini anlatacak telekom yetkililerinin siz daha beklersiniz internet deyip halkla dalga gecerek konusmalarini anlatacak mahalle
4756,sim karti almak icin gittim telefonun uyumlu olmadigi icin para istediler telefonun serviste dedim ama gene vermediler ucretsiz hafta sonra baska ilcede ucretsiz degistiler telefon istemediler
4757,sizin fiberleme anlayi inizi iyice berbat ettiniz ebekeleri cekmiyor bari reklamlari kaldirin yuzsuz yuzsuz yayinliyorsunuz
4758,cayi demle geliyorum diyen arkadaslarinin olmasi kadar guzel birsey olamaz evim daginik ikramligim yok derdinden uzak sadece sicacik bardak cay icip muhabbet etmek derdi olan gozlerinin icine bakarak anlastiginiz arkadaslari olunca insanin daha fazla birsey istemez iste bende arkadaslarim cay demle geliyorum dediginde hemen ocagima cayimi koyup demli guzel cay yapacagim caydanligi almak icin kazanmak istiyorum muhabbetlerimize eslik edecek kaynamaktan sikilmayacak caydanlik alip bol bol cay demlemek cay esliginde muhabbet etmek istiyorum
4759,gectimde internet gelcekmi bana gelecekse kac gb
4760,ben ilk olarak mp internet basladim ttnet musteri hizmetlerinden beni arayarak mp internete ilk tl tl bildirerek benim paket degisikligini yapti bana ay olarak bildirdi baslama tarihi oldugu ilk ayda asmicani inci ayda asmicani bildirdi ama paketin kalan suresini bildirmedi yani paket baslama bitis tarih lerini yanlis bilgilendirme yapti tarihi nden sayica yapar tarih sonra olur benim anladigim sekilde yapilan yanlis bilgilendirmeler sonucunda turk telekom olarak musteri kaybedersiniz turk telekom olarak musteri kazanmakmi istersiniz yoksa kazanicaniz musterileri kaybetmekmi istersiniz yani ben benim gibi musteri butun sosyal paylas sitelerinde yanlis bilgilendirme eksik bilgilendirme yaniltici bilgilendirmeler yaparak haksiz kazanc sagliyorsunuz bunun icin benim ttnet yapmis oldum telefon kayitlar incelemenizi yanlis lik lari duzeltmenizi talep ediyorum diye sikayet bulundum sonuc olarak beni hakli buldular ama kendi yaptiklari hatayi duzeltemiceklerini soylediler bende bunu butun sosyal paylas sitelerinde paylas cam kesinlikle turk telekom kulanmayin yanlis bilgilendirme eksik bilgilendirme yaniltici bilgilendirme yaparak haksiz kazanc sagliyorsunuz hak imi helal etmiyorum hakim haram olsun tum turk telekom calisanlari na
4761,adil kullanim hakki denen zimbirti ile 12 mbit baglanti 128k'ya dusuyorsa ben burda adillik degil adilik ararim turkcell
4762,yildir avea kullaniyorum tane faturali hattim var zamana kadar bircok soygununa eyvallah dedigim avea tl fatura cikardi asimi diye aciklama yapiyor bircok sacma sapan ekleme faturayi sisiriyor hattida kapatin diyorum isi yokusa suruyorlar ayrica hat kapatmak icinde utanmadan ucret talep ediyorlar vodafone veya turkcell kullanan hic kimseden boyle soygun duymadim akli olan kurtulsun avea denen illetten adim mehmet gokdogan numaramda inanmayan varsa acik bilgilerimide paylastim hodri meydan sahtekarlara
4763,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
4764,aylardir nisanda basliyor diye reklam atiyorsunuz buhun nisan gittim bayiye uyumlu modem henuz gelmedi gun sonra gelin dediler aylardir reklam yapicaginiza kendinizi hazirlasaydiniz
4765,siz yillarin firmasi olarak kendinizden utanmiyorsunuz sizin basinizdaki yonetim kurulu belliki para yemekten baska yapmasini bilmiyorlar bide goz boyamak oda var tabi isin icinde koskoca trakya gibi yere altyapi yapmiyorsunuz gidip doguya fiber dosemeye kalkiyosunuz size cuvalla para veriyoruz hala bize duzgun hizmet veremiyorsunuz sizin firmanizi aradigimda cagri merkezi calisanlarinin ini bilgisiz yardimci olmuyor sadece onune tas koyuyor yok sikayet olusturulim yok ariza kaydi yok talep edelim yok teknik servis yollayalim isterseniz elit hizmet verebiliriz bizimkiler boktan anlamiyor isi bilenleri yollayalim diyorsunuz sizin firmanin basindakilerin allah belasini versin diyorum dunyanin parasini kazandiniz seneyi gecti internetten kazandiklarinizla tum turkiye altyapisini yenilerdiniz reklama milyonlari dokeceginize biraz altyapiya onem verseniz hic fena olmaz megabit internet doseyeceginize mbps internet dosemeyin gereksiz yere cagri merkezinizdeki insanlari egitime sokun biraz once kendinize ozel okullar acin lise universite kendi bunyenizde ise alin onlari kadar guclu sirketsiniz bunlari yapabilecek kapasiteniz olmasi gerek cag disi internet hizlari veriyorsunuz bize burda hala telefon gosteriyosunuz siz once internetinizi duzeltin sonra halt yerseniz yeyin adil kullanim kotasi koyuyorsunuz onu yukseltmek icin her ariyosunuz para koparacaksiniz zekisiniz masallah sizin gibi rezil firma gormedim taahhut bitsin sizinle calisani siksinler sizin gibi firmaninda yetkililerininde koyum
4766,subat ayinda beykoz pasabahce telekoma evde internet talebi muracaatimizda gunlerce ugras sonucu gelen gorevli gecici kabloyla hat olusturacagini ama bunun ruzgar gibi durumlarda dusebilecegini herhangi sorumluluk kabul etmeyebilecegi gibi ileride herhangi yeni direk konma durumunun asla olamayacagi bilgisini adeta mujde gibi vermis bizse bunun ileride duzeltilecegini sen simdilik bagla karsiligini vermemize ragmen israrla yapmamis netice cekip gitmis biz pesi sira epey sikayet kuruma yazili dilekce vermemize telefonlarla konuyu uzun uzun anlatmamiza ragmen uzun sure cevap gelmeyince mobil net basvurusuyla gundemimizden cikardik mobil nete gectigimizi ogrenmis olmalilar dogrusu ben anlayamadim onca ugraslarima ragmen zaman mobil internete gectim hemen ardindan telekom yeni direk koyalim diye ekiplerini seferber ett hikmetse arazide duran agac gibi bizim onlarin aylar sonra getirip dikecekleri yeni diregi beklememiz sart mecburmus gibi tuhaf yahu tam komedi filmi gibi telekom yetkilileri biz geldik yeni direk takmaya geldik diyen ekibiyle ardi sira gelen telefonlarla sorun giderildi markajiyla bizim bekleyebilecegimize kara vermis olmali uzun sure aboneligi yururluge sokmak icin ugrasti ama netice mobile gecmistik telekomun ustun hizmet performansiyla bu yillik abonelikti subatta biten aboneligimizle ustelik mobil netimiz daha bitmeden muracaat ettik olur aksilik olur hafta gun sorun olur diye erken davrandik sozum ona yeniden telekoma basvurduk tabi bunun ayni kaderimizi yeniden yasamak oldugunu bilemezdik yine ayni arazi gorevlisi yine dereden getirmeler yine yayma baymalar yine ipe sermeler yok direk yoklar boyle olamazlar oysa telefonla aradigimizda pasabahce beykoz telekoma gidisimizde tamam uygundur onayiyla oyalaniyor evimize gonderiliyoruz daha sonra gelen gorevli tek gorevi islemi gerceklestirmemek olan gorevli yine elinden geleni yaparak ben bunu yapmam deyip gitti gorevliye israrla sen gecici olsa yap bak gecen yil senden daha sonra gelenler oldu yapmak icin dediysek nafile ardindan pazartesi gunu ben pasabahce beykoz telekoma tekrar gittim numarayla siraya girdim once adini bilmedigim gorevli beni yarim agiz dinledikten sonra evimize gelerek aboneligimizin olmayacagini her turlu yayip bayarak yapmayan sahadaki gorevlilerini benim yanimda arayip benim direk dikmek istemedigimi kendisinin geldigi yalanini tum maharetiyle hanimefendiye anlatti hanimefendi benim direk istemedigim kanaatine vararak bana olamayacagi mujdesini tipki sahada gorevliniz gibi mustuladi isin garibi ben daha sizinle ilgilenemeyecegim diyerek beni sikayet uzmani hanim efendiye beni yonlendirdi sikayet uzmani ise beni once savmak icin buyrun sizi dinliyorum derken yaklasan oglen arasini saate bakarak gecistirmeye calisti zira lutfen cabuk olun direktifleriyle daha dinlememeye yonelik agresif tavirlariyla siz direk istememissiniz portun uygun olmasi sonucu degistirmez siz direk istememissiniz telekom gorevlilerinin ortak savunma performansiyla beni savmaya eger yeniden talebimizde israrliysam taleb acmamizi bunun surecegini yani talebimizin neticesinde diregin konma surecini bilemeyecegini belirtince ben tamam ben bana verdiginiz cevabinizi yaziya doker misiniz dedigim ise bunu kesinlikle yapamayacagini prosedurun ancak sekilde gerceklesebilecegini tipik telekom personeli agresifligiyle surdurmeye devam etti sikayetim varsa bunu uskudar telekoma yapabilecegimi lutfederek bitirdi sonuc telekom tip kisilerle degil yeni abonelik ellerinde aboneleri tutarsalar basaridir uygunluk belgesi verilip sonrasinda telefonlarla sisteme bakildiginda veyahut telekom pasabahce beykozdaki yetkililerin evet yeriniz hizmet alimi icin musait denmesine ragmen gorevlinin kasta varan yokusa surme eylemi hakikaten ustun hizmet performansidir vesselam ben simdi sormak istiyorum eger evde internet talebimi ben istemiyeceksem nicin direk istemiyeyim gecici olsa arka sokaktaki direkten istedigimizde bunu kabul edersem boyle kalir yeni direk gelmez diye bunu kabullenecekseniz ancak sekilde kabullenin diyen saha gorevlisi basindan kovarcasina sikayet uzmanina gonderen personel surer diregin konulmasi diye potansiyel musterisini sen iyisi bekleme dercesine ipe serererek musterinin israrla zaman soylediklerinizi yaziyla belgeleyin aya olur aya onu arazi durum belirler sozlerinizi dedigimde ise bunu yaziya dokmek zorunda degilim diyen tam sikayet savar sikayet uzmani cunku iyi biliyor dediklerini yaziya dokse kovulur zira yilinda istanbul gibi turkiye sozde gelismis sehrinde direk koyma hizmeti sadece gunluk istir haydi hafta olsun peki ayyyyy ayyyy demek her seyiyle agresif gelen musterilerini korkutarak yahut asagilayarak yok burda oturma dakka hop diyerek onundeki sandalyeye bile oturabilmesine tipki oncesi gibi insani insan yerine koymayan eski devrin tipik devletci memur tipinin karakteristik ozelligiyle karsisina gelenleri alay ederek adeta dalga gecercesine karsilayan sozde personelle telekom degil de ozellestirse eski tas eski hamam der ayni yoluna devam eder sozde gecen yil telekom uzerinden evde internet abone rezilligini yasamiyayim diye yil vadafone tercihimle yasamiyayim dedim ama vadafone uyeligi telekom uzerinden yaptigi icin yine tam fiyaskoyla neticelendirmis oldu kisaca telekoma tebrikler mevcut personelleriyle telekoma musteri kazandiriyorlar telekom uzerinden hizmet alarak musteri potansiyeli olusturmaya calisan diger ozel kurumlara musterileri kazandiriyorlar basari tumuyle telekom personelinin ozenli yogun performansi ekip ruhu ekibin birbirini tutan pek ekip perest personelinin eseri turk telekom personeliyle kadar ovunse azdir musteri olmasina izin ver debaska firmalara musteri yaptirtma bence turk telokom personelinin ustun basarisidir derhal odullendirilmelidir ozcan tasci riva beykoz sikayetimi arkadasimin face sayfasi uzerinden yapmak zorunda kaldim bilginize
4767,evet
4768,tahauttum yok zaten basvuru yaptim gune superonlinedeyimvdkskdkd
4769,talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
4770,faturasizlara hediye yokmu ayip
4771,suan sayfayinin acilmasini dakka bekledim burasi karayolu kenari otobanin yaninda dilovasi reklamlara harcanan para alt yapiya harcansa reklama gerek kalmicak emin olun bugun interneti unuttum ceken telefon yer yer gezgin yani yillardaki cekim gucuyle cekmeye calisti telefon samsung ariyom musteri temsilcisini telefonu kapat duzelir diyo rezillik yaa
4772,"beta mağazasına gelerek içinde turkcell vinn olan beta ayakkabıyı yakala, eğlenirken vinn’la!"
4773,t eknolojinin adresinden geldi bize hediyeler vde tatilin guzel yani playstation oynamalar arneler dortluk olmasa yazar esemizi bozamaz kimselerr yun kum gunes mis havalar imdi lazim bize bunlar yaga kalkin tatil vakti kankalar
4774,misli kuponunu paylasiyo kazanmak isteyenler takipe gecsin
4775,usta gel senin pasaportu isletek turkiyeden alinmaz
4776,senin gene kardesim ben tasindigimdan beri internet kullanamiyorum baglanti kopuyor modem dediler modem aldim kablo kablo aldik ankastre kutusu bozuk dediler yaptirdik bahaneleri kalmadi lira fatura oduyorum gun arizadan dolayi girilmemis lira fatura geldi hele subat ayinin sinden beri internete baglanamiyoruz persembe geldi suan gene yok internet hala musteriye suc atiliyor aydir beceremediler iptal ettirecem gerek ceza thattut cezasi vermeyecegimi soyleyen musteri temsilcisi ses kaydi mevcut tur bakabilir konusmalara sinir hastasi oldum bunlarin yuzune birde fiber diyorlar istanbul mhps hizinizi alamiyordum ben alt yapi olmasina ragmen yaziklar olsun hizmet sunmadan para isteyen noktali yeri kendiniz doldurun agizim bozulmasin gina geldi sizden ttnet mis yaziklar olsun yalancilik numara dolandiricilik dolu sirketiniz
4777,talebiniz bize ulasmistir kisa surede sizinle iletisime gececegiz
4778,dedim anneme bana dedi annem okut buyut besle istesin senden dedim anne ben bunu hakediyormuyum sence dedi annem fiyatlar nasil sence dedim gidelim teknosaya once ciktim elimde yle
4779,bespara etmez hizmetiniz soyguncu anlayisi var hizmet yok nasil musteriyi kandirip abone ederiz sonra faturayi astimi fahissss fiyat
